page,path,page_type,clicks,impressions,ctr,position,impression_share_of_pages_sheet,notes
https://ร้านรับซื้อโน๊ตบุ๊ค.com/,/,root,0.0,37.0,0.0,45.68,0.1423,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/กรณีศึกษา-รับซื้อโน๊ตบุ๊คโดนน้ำหก-บอร์ดช็อตเปิดไม่ติด/,/blog/กรณีศึกษา-รับซื้อโน๊ตบุ๊คโดนน้ำหก-บอร์ดช็อตเปิดไม่ติด/,blog,0.0,5.0,0.0,24.2,0.0192,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับประมูลคอม/,/รับประมูลคอม/,other,0.0,5.0,0.0,36.2,0.0192,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/ขายโน๊ตบุ๊คที่ไหนดี-ได้ราคาและปลอดภัย/,/blog/ขายโน๊ตบุ๊คที่ไหนดี-ได้ราคาและปลอดภัย/,blog,0.0,5.0,0.0,46.8,0.0192,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/ติดต่อเรา/,/ติดต่อเรา/,other,0.0,4.0,0.0,3.0,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊ครีสตาร์ทเองขายได้ไหม/,/blog/โน๊ตบุ๊ครีสตาร์ทเองขายได้ไหม/,blog,0.0,4.0,0.0,5.25,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/นโยบายความเป็นส่วนตัว/,/นโยบายความเป็นส่วนตัว/,other,0.0,4.0,0.0,6.75,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/เว็บไซต์ในเครือ/,/เว็บไซต์ในเครือ/,other,0.0,4.0,0.0,7.0,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/คำถามที่พบบ่อย/,/คำถามที่พบบ่อย/,other,0.0,4.0,0.0,8.5,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊คบูตวนขายได้ไหม/,/blog/โน๊ตบุ๊คบูตวนขายได้ไหม/,blog,0.0,4.0,0.0,8.5,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp/,/รับซื้อโน๊ตบุ๊ค/hp/,hub_child_brand_or_location_or_condition,0.0,4.0,0.0,12.25,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/razer/,/รับซื้อโน๊ตบุ๊ค/razer/,hub_child_brand_or_location_or_condition,0.0,4.0,0.0,15.25,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ใกล้ฉัน/ฮาร์ดดิสก์เสีย/,/รับซื้อโน๊ตบุ๊ค/ใกล้ฉัน/ฮาร์ดดิสก์เสีย/,combo_or_deep,0.0,4.0,0.0,21.5,0.0154,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊คมือสอง/,/รับซื้อโน๊ตบุ๊คมือสอง/,money_secondhand,0.0,3.0,0.0,3.0,0.0115,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลำปาง/เครื่องเสีย/,/รับซื้อโน๊ตบุ๊ค/ลำปาง/เครื่องเสีย/,combo_or_deep,0.0,3.0,0.0,37.0,0.0115,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro-7/,/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro-7/,hub_child_brand_or_location_or_condition,2.0,2.0,1.0,30.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/อุบลราชธานี/,/รับซื้อโน๊ตบุ๊ค/อุบลราชธานี/,hub_child_brand_or_location_or_condition,1.0,2.0,0.5,8.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-omen-16/,/รับซื้อโน๊ตบุ๊ค/hp-omen-16/,hub_child_brand_or_location_or_condition,1.0,2.0,0.5,14.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,hub_child_brand_or_location_or_condition,1.0,2.0,0.5,26.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/รังสิต/,/รับซื้อโน๊ตบุ๊ค/รังสิต/,hub_child_brand_or_location_or_condition,1.0,2.0,0.5,54.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,1.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-ราคาเท่าไหร่/,/blog/รับซื้อโน๊ตบุ๊ค-ราคาเท่าไหร่/,blog,0.0,2.0,0.0,3.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊คไม่มีที่ชาร์จขายได้ไหม/,/blog/โน๊ตบุ๊คไม่มีที่ชาร์จขายได้ไหม/,blog,0.0,2.0,0.0,5.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/กรณีศึกษา-รับซื้อโน๊ตบุ๊คองค์กร-20-เครื่อง-ปลด-asset-tag/,/blog/กรณีศึกษา-รับซื้อโน๊ตบุ๊คองค์กร-20-เครื่อง-ปลด-asset-tag/,blog,0.0,2.0,0.0,6.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/,/รับซื้อโน๊ตบุ๊ค/,other,0.0,2.0,0.0,7.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เปิดไม่ติด/,/รับซื้อโน๊ตบุ๊ค/เปิดไม่ติด/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,7.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer-predator-triton/,/รับซื้อโน๊ตบุ๊ค/acer-predator-triton/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,7.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/alienware-x16/,/รับซื้อโน๊ตบุ๊ค/alienware-x16/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,7.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/gaming/,/รับซื้อโน๊ตบุ๊ค/gaming/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,7.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/ตีราคาโน๊ตบุ๊ค/,/ตีราคาโน๊ตบุ๊ค/,money_valuation,0.0,2.0,0.0,7.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับเหมาคอมพิวเตอร์/,/รับเหมาคอมพิวเตอร์/,other,0.0,2.0,0.0,9.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-laptop-go/,/รับซื้อโน๊ตบุ๊ค/surface-laptop-go/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,22.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-envy-x360/,/รับซื้อโน๊ตบุ๊ค/hp-envy-x360/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,29.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/ก่อนขายโน๊ตบุ๊คต้องล้างข้อมูลอย่างไร/,/blog/ก่อนขายโน๊ตบุ๊คต้องล้างข้อมูลอย่างไร/,blog,0.0,2.0,0.0,32.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/alienware-m16/,/รับซื้อโน๊ตบุ๊ค/alienware-m16/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,32.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครปฐม/ตกรุ่น/,/รับซื้อโน๊ตบุ๊ค/นครปฐม/ตกรุ่น/,combo_or_deep,0.0,2.0,0.0,39.0,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/,/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,42.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook/,/รับซื้อโน๊ตบุ๊ค/macbook/,hub_child_brand_or_location_or_condition,0.0,2.0,0.0,52.5,0.0077,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นครนายก/,/รับซื้อโน๊ตบุ๊ค/นครนายก/,hub_child_brand_or_location_or_condition,1.0,1.0,1.0,16.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/hp/,/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/hp/,combo_or_deep,0.0,1.0,0.0,1.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/ไฟไม่เข้า/,/รับซื้อโน๊ตบุ๊ค/ขอนแก่น/ไฟไม่เข้า/,combo_or_deep,0.0,1.0,0.0,2.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อโน๊ตบุ๊ค-คู่มือครบวงจรสำหรับผู้ขาย/,/blog/รับซื้อโน๊ตบุ๊ค-คู่มือครบวงจรสำหรับผู้ขาย/,blog,0.0,1.0,0.0,5.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พระราม2/,/รับซื้อโน๊ตบุ๊ค/พระราม2/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,8.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/มุกดาหาร/gaming/,/รับซื้อโน๊ตบุ๊ค/มุกดาหาร/gaming/,combo_or_deep,0.0,1.0,0.0,8.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/ร้านรับซื้อโน๊ตบุ๊ค-เช็คราคาโน๊ตบุ๊ค-ประเมินราคา-คีย์หลัก/,/blog/ร้านรับซื้อโน๊ตบุ๊ค-เช็คราคาโน๊ตบุ๊ค-ประเมินราคา-คีย์หลัก/,blog,0.0,1.0,0.0,8.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/เช็คราคาโน๊ตบุ๊ค/,/เช็คราคาโน๊ตบุ๊ค/,money_price_check,0.0,1.0,0.0,9.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/macbook-จอร้าว-ขายได้ไหม/,/blog/macbook-จอร้าว-ขายได้ไหม/,blog,0.0,1.0,0.0,9.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สกลนคร/,/รับซื้อโน๊ตบุ๊ค/สกลนคร/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,10.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-macbook-air-m4-ราคาเท่าไหร่/,/blog/รับซื้อ-macbook-air-m4-ราคาเท่าไหร่/,blog,0.0,1.0,0.0,10.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/พังงา/คีย์บอร์ดเสีย/,/รับซื้อโน๊ตบุ๊ค/พังงา/คีย์บอร์ดเสีย/,combo_or_deep,0.0,1.0,0.0,11.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-macbook-air-m2-ราคาเท่าไหร่/,/blog/รับซื้อ-macbook-air-m2-ราคาเท่าไหร่/,blog,0.0,1.0,0.0,12.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/รามคำแหง/,/รับซื้อโน๊ตบุ๊ค/รามคำแหง/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,13.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กรุงเทพ/,/รับซื้อโน๊ตบุ๊ค/กรุงเทพ/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,15.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ลาดพร้าว/,/รับซื้อโน๊ตบุ๊ค/ลาดพร้าว/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,16.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/กระบี่/,/รับซื้อโน๊ตบุ๊ค/กระบี่/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,17.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus/,/รับซื้อโน๊ตบุ๊ค/asus/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,17.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,18.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/ขายโน๊ตบุ๊คบริษัท-ต้องเตรียมอะไร/,/blog/ขายโน๊ตบุ๊คบริษัท-ต้องเตรียมอะไร/,blog,0.0,1.0,0.0,18.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell/,/รับซื้อโน๊ตบุ๊ค/dell/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,19.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/วิธีดูรุ่นโน๊ตบุ๊ค-windows-ก่อนส่งประเมินราคา/,/blog/วิธีดูรุ่นโน๊ตบุ๊ค-windows-ก่อนส่งประเมินราคา/,blog,0.0,1.0,0.0,19.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/คีย์บอร์ดเสีย/,/รับซื้อโน๊ตบุ๊ค/คีย์บอร์ดเสีย/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,20.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊คโดนน้ำขายได้ไหม/,/blog/โน๊ตบุ๊คโดนน้ำขายได้ไหม/,blog,0.0,1.0,0.0,21.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-asus-tuf-rog-ราคาเท่าไหร่/,/blog/รับซื้อ-asus-tuf-rog-ราคาเท่าไหร่/,blog,0.0,1.0,0.0,31.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เชียงใหม่/ตกรุ่น/,/รับซื้อโน๊ตบุ๊ค/เชียงใหม่/ตกรุ่น/,combo_or_deep,0.0,1.0,0.0,36.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/รับซื้อ-alienware-m16-x16-ราคาเท่าไหร่/,/blog/รับซื้อ-alienware-m16-x16-ราคาเท่าไหร่/,blog,0.0,1.0,0.0,40.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,42.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-latitude/,/รับซื้อโน๊ตบุ๊ค/dell-latitude/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,44.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,46.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi-katana-15/,/รับซื้อโน๊ตบุ๊ค/msi-katana-15/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,47.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lg/,/รับซื้อโน๊ตบุ๊ค/lg/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,48.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เชียงใหม่/,/รับซื้อโน๊ตบุ๊ค/เชียงใหม่/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,52.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/blog/โน๊ตบุ๊คแบตบวมขายได้ไหม/,/blog/โน๊ตบุ๊คแบตบวมขายได้ไหม/,blog,0.0,1.0,0.0,55.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/สมุทรปราการ/dell/,/รับซื้อโน๊ตบุ๊ค/สมุทรปราการ/dell/,combo_or_deep,0.0,1.0,0.0,62.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/เครื่องเสีย/,/รับซื้อโน๊ตบุ๊ค/เครื่องเสีย/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,74.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/นนทบุรี/,/รับซื้อโน๊ตบุ๊ค/นนทบุรี/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,84.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/ปทุมธานี/,/รับซื้อโน๊ตบุ๊ค/ปทุมธานี/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,85.0,0.0038,Page sheet only; cannot attribute queries
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-pro-16/,/รับซื้อโน๊ตบุ๊ค/macbook-pro-16/,hub_child_brand_or_location_or_condition,0.0,1.0,0.0,102.0,0.0038,Page sheet only; cannot attribute queries
