url,before_generated_occurrences,after_generated_occurrences,title,meta_description,h1,body,schema,overall
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-thinkbook/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,0,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook/,6,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi-modern/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung/,6,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-laptop/,0,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-pro/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,7,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-t14/,0,0,PASS,PASS,PASS,PASS,PASS,PASS
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,0,0,PASS,PASS,PASS,PASS,PASS,PASS
