url,brand_or_page_type,title_affected,meta_description_affected,h1_affected,body_affected,schema_affected,source_files,source_occurrence_count,before_occurrence_count,expected_after_count,built_page_affected
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,brand/model content page,false,true,true,true,true,src/content/brands/asus-zephyrus.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus/,brand/model content page,false,true,true,true,true,src/content/brands/asus.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-latitude/,brand/model content page,false,false,false,false,false,src/content/brands/dell-latitude.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-vostro/,brand/model content page,false,true,true,true,true,src/content/brands/dell-vostro.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell/,brand/model content page,false,true,true,true,true,src/content/brands/dell.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,brand/model content page,false,false,false,false,false,src/content/brands/hp-elitebook.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-pavilion/,brand/model content page,false,true,true,true,true,src/content/brands/hp-pavilion.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-probook/,brand/model content page,false,false,false,false,false,src/content/brands/hp-probook.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,brand/model content page,false,false,false,false,false,src/content/brands/hp-victus-15.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,brand/model content page,false,true,true,true,true,src/content/brands/hp-victus-16.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp/,brand/model content page,false,true,true,true,true,src/content/brands/hp.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei/,brand/model content page,false,true,true,true,true,src/content/brands/huawei.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo-legion-pro.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo-legion-slim.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo-loq-15-16.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-thinkbook/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo-thinkbook.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo-yoga.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo/,brand/model content page,false,true,true,true,true,src/content/brands/lenovo.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,brand/model content page,false,false,false,false,false,src/content/brands/macbook-air-m3.md,1,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook/,brand/model content page,false,true,false,true,true,src/content/brands/macbook.md,1,6,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi-modern/,brand/model content page,false,true,true,true,true,src/content/brands/msi-modern.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi/,brand/model content page,false,true,true,true,true,src/content/brands/msi.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung/,brand/model content page,false,true,false,true,true,src/content/brands/samsung.md,1,6,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-laptop/,brand/model content page,false,false,false,false,false,src/content/brands/surface-laptop.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-pro/,brand/model content page,false,true,true,true,true,src/content/brands/surface-pro.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface/,brand/model content page,false,true,true,true,true,src/content/brands/surface.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,brand/model content page,false,true,true,true,true,src/content/brands/thinkpad-e14-e15.md,2,7,0,true
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-t14/,brand/model content page,false,false,false,false,false,src/content/brands/thinkpad-t14.md,2,0,0,false
https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,brand/model content page,false,false,false,false,false,src/content/brands/thinkpad-x1-carbon.md,1,0,0,false
