source_file,field,generated_url,before,after,change_method,validation_status
src/content/brands/acer.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/acer.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/acer/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-expertbook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-expertbook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-expertbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-rog-strix.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-rog-strix.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-rog-strix/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-tuf-a15-f15.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-tuf-a15-f15/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-vivobook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-vivobook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-vivobook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-zenbook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-zenbook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zenbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-zephyrus.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus-zephyrus.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus-zephyrus/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/asus.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/asus/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell-latitude.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-latitude/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell-latitude.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-latitude/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell-vostro.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-vostro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell-vostro.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell-vostro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/dell.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/dell/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-elitebook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-elitebook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-elitebook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-pavilion.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-pavilion/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-pavilion.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-pavilion/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-probook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-probook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-probook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-probook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-victus-15.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-victus-15.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-15/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-victus-16.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp-victus-16.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp-victus-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/hp.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/hp/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/huawei.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/huawei.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/huawei/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-legion-pro.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-legion-pro.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-pro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-legion-slim.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-legion-slim.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-legion-slim/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-loq-15-16.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-loq-15-16.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-loq-15-16/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-thinkbook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-thinkbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-thinkbook.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-thinkbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-yoga.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo-yoga.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo-yoga/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/lenovo.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/lenovo/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/macbook-air-m3.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook-air-m3/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/macbook.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/macbook/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/msi-modern.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi-modern/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/msi-modern.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi-modern/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/msi.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/msi.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/msi/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/samsung.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/samsung/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface-laptop.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-laptop/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface-laptop.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-laptop/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface-pro.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-pro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface-pro.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface-pro/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/surface.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/surface/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/thinkpad-e14-e15.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/thinkpad-e14-e15.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-e14-e15/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/thinkpad-t14.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-t14/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/thinkpad-t14.md,pageH1,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-t14/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
src/content/brands/thinkpad-x1-carbon.md,description,https://ร้านรับซื้อโน๊ตบุ๊ค.com/รับซื้อโน๊ตบุ๊ค/thinkpad-x1-carbon/,ยอดนิยมยอดนิยม,ยอดนิยม,exact literal replacement in inventoried file,PASS
