slug,field,in_dataset,mentioned_in_page,sample
macbook-air-m3,cpuOptions,yes,yes,Apple M3 8-core CPU
macbook-air-m3,gpuOptions,yes,yes,Apple M3 8-core GPU | Apple M3 10-core GPU
macbook-air-m3,memory.ramConfigurations,yes,yes,8GB | 16GB | 24GB
macbook-air-m3,storage.storageOptions,yes,yes,256GB | 512GB | 1TB | 2TB
macbook-air-m3,display.displaySizes,yes,partial_or_summary,13.6-inch | 15.3-inch
macbook-air-m3,batteryCapacity,yes,partial_or_summary,52.6Wh (13-inch) / see 15-inch support page for 15-inch battery
macbook-air-m3,chargerWattageOptions,yes,partial_or_summary,30W USB-C | 35W Dual USB-C | 70W USB-C (fast charge capable)
macbook-air-m4,cpuOptions,yes,yes,Apple M4 10-core CPU
macbook-air-m4,gpuOptions,yes,yes,Apple M4 8-core GPU | Apple M4 10-core GPU
macbook-air-m4,memory.ramConfigurations,yes,yes,16GB | 24GB | 32GB
macbook-air-m4,storage.storageOptions,yes,yes,256GB | 512GB | 1TB | 2TB
macbook-air-m4,display.displaySizes,yes,partial_or_summary,13.6-inch | 15.3-inch
macbook-air-m4,batteryCapacity,yes,partial_or_summary,66.5Wh (15-inch reference)
macbook-air-m4,chargerWattageOptions,yes,yes,35W Dual USB-C | 70W USB-C (fast charge capable)
macbook-air-m5,cpuOptions,yes,yes,Apple M5 10-core CPU
macbook-air-m5,gpuOptions,yes,yes,Apple M5 8-core GPU | Apple M5 10-core GPU
macbook-air-m5,memory.ramConfigurations,yes,yes,16GB | 24GB | 32GB
macbook-air-m5,storage.storageOptions,yes,yes,512GB | 1TB | 2TB | 4TB
macbook-air-m5,display.displaySizes,yes,partial_or_summary,13.6-inch | 15.3-inch
macbook-air-m5,batteryCapacity,yes,partial_or_summary,66.5Wh (15-inch)
macbook-air-m5,chargerWattageOptions,yes,yes,40W Dynamic Power Adapter (60W Max) | 35W Dual USB-C | 70W USB-C
