Brand,Series,Model,Field,Value,Source path,Verified,Confidence,Used in content
acer,,acer-nitro-17,prose_or_frontmatter_mention,RTX 4060,src/content/brands/acer-nitro-17.md,repo_text,medium_low,yes
acer,,acer-nitro-17,prose_or_frontmatter_mention,17.3 นิ้ว,src/content/brands/acer-nitro-17.md,repo_text,medium_low,yes
acer,,acer-nitro-v,popularModels_chip,"Nitro V 15 (Intel Core)",src/content/brands/acer-nitro-v.md,repo_frontmatter,medium,yes
acer,,acer-nitro-v,popularModels_chip,Nitro V 16 (AMD Ryzen),src/content/brands/acer-nitro-v.md,repo_frontmatter,medium,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,AMD Ryzen 5,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,RTX 2050,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,RTX 3050,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,RTX 4050,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,RTX 4060,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,144Hz,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,165Hz,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,15.6 นิ้ว,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-nitro-v,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/acer-nitro-v.md,repo_text,medium_low,yes
acer,,acer-predator-helios,popularModels_chip,"Predator Helios 16",src/content/brands/acer-predator-helios.md,repo_frontmatter,medium,yes
acer,,acer-predator-helios,popularModels_chip,"Predator Helios 18",src/content/brands/acer-predator-helios.md,repo_frontmatter,medium,yes
acer,,acer-predator-helios,popularModels_chip,Predator Helios ที่ใช้ RTX 4070 ขึ้นไป,src/content/brands/acer-predator-helios.md,repo_frontmatter,medium,yes
acer,,acer-predator-helios,prose_or_frontmatter_mention,RTX 4070,src/content/brands/acer-predator-helios.md,repo_text,medium_low,yes
acer,,acer-predator-neo,popularModels_chip,"Predator Helios Neo 16 (Intel Core i5)",src/content/brands/acer-predator-neo.md,repo_frontmatter,medium,yes
acer,,acer-predator-neo,popularModels_chip,Predator Helios Neo 16 (Intel Core i7 / i9),src/content/brands/acer-predator-neo.md,repo_frontmatter,medium,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,Intel Core i7,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,RTX 4050,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,RTX 4060,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,RTX 4070,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,RTX 4080,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,165Hz,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,240Hz,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-neo,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/acer-predator-neo.md,repo_text,medium_low,yes
acer,,acer-predator-triton,popularModels_chip,"Predator Triton 14",src/content/brands/acer-predator-triton.md,repo_frontmatter,medium,yes
acer,,acer-predator-triton,popularModels_chip,"Predator Triton 16",src/content/brands/acer-predator-triton.md,repo_frontmatter,medium,yes
acer,,acer-predator-triton,popularModels_chip,Predator Triton ที่ใช้ RTX 4070 ขึ้นไป,src/content/brands/acer-predator-triton.md,repo_frontmatter,medium,yes
acer,,acer-predator-triton,prose_or_frontmatter_mention,RTX 4070,src/content/brands/acer-predator-triton.md,repo_text,medium_low,yes
acer,acer-swift,,popularModels_chip,"Swift 3 / Swift 5",src/content/brands/acer-swift.md,repo_frontmatter,medium,yes
acer,acer-swift,,popularModels_chip,"Swift Go 14 / Go 16",src/content/brands/acer-swift.md,repo_frontmatter,medium,yes
acer,acer-swift,,popularModels_chip,Swift Edge (หน้าจอ OLED บางเบาพิเศษ),src/content/brands/acer-swift.md,repo_frontmatter,medium,yes
acer,acer-swift,,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/acer-swift.md,repo_text,medium_low,yes
acer,acer-swift,,prose_or_frontmatter_mention,AMD Ryzen 5,src/content/brands/acer-swift.md,repo_text,medium_low,yes
acer,acer-swift,,prose_or_frontmatter_mention,14 นิ้ว,src/content/brands/acer-swift.md,repo_text,medium_low,yes
acer,acer-swift,,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/acer-swift.md,repo_text,medium_low,yes
acer,acer-travelmate,,popularModels_chip,"TravelMate P2 / P4 / P6",src/content/brands/acer-travelmate.md,repo_frontmatter,medium,yes
acer,acer-travelmate,,popularModels_chip,"TravelMate Spin (พับหน้าจอได้)",src/content/brands/acer-travelmate.md,repo_frontmatter,medium,yes
acer,acer-travelmate,,popularModels_chip,TravelMate B Series,src/content/brands/acer-travelmate.md,repo_frontmatter,medium,yes
acer,acer-travelmate,,prose_or_frontmatter_mention,Intel Core i3,src/content/brands/acer-travelmate.md,repo_text,medium_low,yes
acer,acer-travelmate,,prose_or_frontmatter_mention,AMD Ryzen 3,src/content/brands/acer-travelmate.md,repo_text,medium_low,yes
acer,,,popularModels_chip,"Acer Nitro 5 / V15 / Nitro 16",src/content/brands/acer.md,repo_frontmatter,medium,yes
acer,,,popularModels_chip,"Acer Predator Helios / Neo / Triton",src/content/brands/acer.md,repo_frontmatter,medium,yes
acer,,,popularModels_chip,Acer Swift / Aspire,src/content/brands/acer.md,repo_frontmatter,medium,yes
acer,,,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/acer.md,repo_text,medium_low,yes
acer,,,prose_or_frontmatter_mention,AMD Ryzen 5,src/content/brands/acer.md,repo_text,medium_low,yes
acer,,,prose_or_frontmatter_mention,144Hz,src/content/brands/acer.md,repo_text,medium_low,yes
acer,,,prose_or_frontmatter_mention,165Hz,src/content/brands/acer.md,repo_text,medium_low,yes
acer,,,prose_or_frontmatter_mention,60Hz,src/content/brands/acer.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,popularModels_chip,"Alienware m15 R7 RTX 3060",src/content/brands/alienware-m15-r7-r8.md,repo_frontmatter,medium,yes
dell,,alienware-m15-r7-r8,popularModels_chip,"Alienware m15 R7 RTX 3070",src/content/brands/alienware-m15-r7-r8.md,repo_frontmatter,medium,yes
dell,,alienware-m15-r7-r8,popularModels_chip,Alienware m15 R8 RTX 4060 / 4070,src/content/brands/alienware-m15-r7-r8.md,repo_frontmatter,medium,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,m1,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,RTX 3060,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,RTX 3070,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,RTX 4060,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,RTX 3070Ti,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m15-r7-r8,prose_or_frontmatter_mention,RTX 4070,src/content/brands/alienware-m15-r7-r8.md,repo_text,medium_low,yes
dell,,alienware-m16,popularModels_chip,"Alienware m16 RTX 4060",src/content/brands/alienware-m16.md,repo_frontmatter,medium,yes
dell,,alienware-m16,popularModels_chip,"Alienware m16 RTX 4070",src/content/brands/alienware-m16.md,repo_frontmatter,medium,yes
dell,,alienware-m16,popularModels_chip,Alienware m16 RTX 4080 ขึ้นไป,src/content/brands/alienware-m16.md,repo_frontmatter,medium,yes
dell,,alienware-m16,prose_or_frontmatter_mention,m1,src/content/brands/alienware-m16.md,repo_text,medium_low,yes
dell,,alienware-m16,prose_or_frontmatter_mention,RTX 4060,src/content/brands/alienware-m16.md,repo_text,medium_low,yes
dell,,alienware-m16,prose_or_frontmatter_mention,RTX 4070,src/content/brands/alienware-m16.md,repo_text,medium_low,yes
dell,,alienware-m16,prose_or_frontmatter_mention,RTX 4080,src/content/brands/alienware-m16.md,repo_text,medium_low,yes
dell,,alienware-m16,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/alienware-m16.md,repo_text,medium_low,yes
dell,,alienware-m18,popularModels_chip,"Alienware m18 RTX 4070",src/content/brands/alienware-m18.md,repo_frontmatter,medium,yes
dell,,alienware-m18,popularModels_chip,"Alienware m18 RTX 4080",src/content/brands/alienware-m18.md,repo_frontmatter,medium,yes
dell,,alienware-m18,popularModels_chip,Alienware m18 RTX 4090,src/content/brands/alienware-m18.md,repo_frontmatter,medium,yes
dell,,alienware-m18,prose_or_frontmatter_mention,m1,src/content/brands/alienware-m18.md,repo_text,medium_low,yes
dell,,alienware-m18,prose_or_frontmatter_mention,RTX 4070,src/content/brands/alienware-m18.md,repo_text,medium_low,yes
dell,,alienware-m18,prose_or_frontmatter_mention,RTX 4080,src/content/brands/alienware-m18.md,repo_text,medium_low,yes
dell,,alienware-m18,prose_or_frontmatter_mention,RTX 4090,src/content/brands/alienware-m18.md,repo_text,medium_low,yes
dell,,alienware-m18,prose_or_frontmatter_mention,18 นิ้ว,src/content/brands/alienware-m18.md,repo_text,medium_low,yes
dell,alienware-x16,,popularModels_chip,"Alienware x16 RTX 4070",src/content/brands/alienware-x16.md,repo_frontmatter,medium,yes
dell,alienware-x16,,popularModels_chip,"Alienware x16 RTX 4080",src/content/brands/alienware-x16.md,repo_frontmatter,medium,yes
dell,alienware-x16,,popularModels_chip,Alienware x16 RTX 4090,src/content/brands/alienware-x16.md,repo_frontmatter,medium,yes
dell,alienware-x16,,prose_or_frontmatter_mention,RTX 4070,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
dell,alienware-x16,,prose_or_frontmatter_mention,RTX 4080,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
dell,alienware-x16,,prose_or_frontmatter_mention,RTX 4090,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
dell,alienware-x16,,prose_or_frontmatter_mention,RTX 4060,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
dell,alienware-x16,,prose_or_frontmatter_mention,165Hz,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
dell,alienware-x16,,prose_or_frontmatter_mention,240Hz,src/content/brands/alienware-x16.md,repo_text,medium_low,yes
asus,asus-expertbook,,popularModels_chip,"ExpertBook B1 / B3 / B5",src/content/brands/asus-expertbook.md,repo_frontmatter,medium,yes
asus,asus-expertbook,,popularModels_chip,"ExpertBook B9 (รุ่นบางเบาพิเศษ)",src/content/brands/asus-expertbook.md,repo_frontmatter,medium,yes
asus,asus-expertbook,,popularModels_chip,ExpertBook Essential,src/content/brands/asus-expertbook.md,repo_frontmatter,medium,yes
asus,asus-expertbook,,prose_or_frontmatter_mention,Intel Core i3,src/content/brands/asus-expertbook.md,repo_text,medium_low,yes
asus,asus-expertbook,,prose_or_frontmatter_mention,AMD Ryzen 3,src/content/brands/asus-expertbook.md,repo_text,medium_low,yes
asus,,asus-rog-ally-x,popularModels_chip,"ROG Ally X 1TB",src/content/brands/asus-rog-ally-x.md,repo_frontmatter,medium,yes
asus,,asus-rog-ally-x,popularModels_chip,ROG Ally X พร้อมเคสและอะแดปเตอร์เดิม,src/content/brands/asus-rog-ally-x.md,repo_frontmatter,medium,yes
asus,,asus-rog-ally-x,prose_or_frontmatter_mention,120Hz,src/content/brands/asus-rog-ally-x.md,repo_text,medium_low,yes
asus,,asus-rog-flow,popularModels_chip,"ROG Flow X13",src/content/brands/asus-rog-flow.md,repo_frontmatter,medium,yes
asus,,asus-rog-flow,popularModels_chip,"ROG Flow Z13",src/content/brands/asus-rog-flow.md,repo_frontmatter,medium,yes
asus,,asus-rog-flow,popularModels_chip,ROG Flow X16,src/content/brands/asus-rog-flow.md,repo_frontmatter,medium,yes
asus,,asus-rog-strix,popularModels_chip,"ROG Strix G15 / G16",src/content/brands/asus-rog-strix.md,repo_frontmatter,medium,yes
asus,,asus-rog-strix,popularModels_chip,"ROG Strix G17 / G18",src/content/brands/asus-rog-strix.md,repo_frontmatter,medium,yes
asus,,asus-rog-strix,popularModels_chip,ROG Strix Scar (รุ่นท็อปประสิทธิภาพเต็มประสิทธิภาพ),src/content/brands/asus-rog-strix.md,repo_frontmatter,medium,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,Intel Core i7,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,AMD Ryzen 7,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 3070,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 3080,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 4070,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 4080,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,RTX 4090,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,165Hz,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,240Hz,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,360Hz,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,15.6 นิ้ว,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,17.3 นิ้ว,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-rog-strix,prose_or_frontmatter_mention,18 นิ้ว,src/content/brands/asus-rog-strix.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,popularModels_chip,"TUF Gaming F15 (Intel Core)",src/content/brands/asus-tuf-a15-f15.md,repo_frontmatter,medium,yes
asus,,asus-tuf-a15-f15,popularModels_chip,TUF Gaming A15 (AMD Ryzen),src/content/brands/asus-tuf-a15-f15.md,repo_frontmatter,medium,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,AMD Ryzen 5,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,RTX 2060,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,RTX 3050,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,RTX 3060,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,RTX 4050,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,GTX 1650,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,144Hz,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,240Hz,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,,asus-tuf-a15-f15,prose_or_frontmatter_mention,15.6 นิ้ว,src/content/brands/asus-tuf-a15-f15.md,repo_text,medium_low,yes
asus,asus-vivobook,,popularModels_chip,"Vivobook 14 / 15",src/content/brands/asus-vivobook.md,repo_frontmatter,medium,yes
asus,asus-vivobook,,popularModels_chip,"Vivobook S14 / S15",src/content/brands/asus-vivobook.md,repo_frontmatter,medium,yes
asus,asus-vivobook,,popularModels_chip,Vivobook OLED / Pro,src/content/brands/asus-vivobook.md,repo_frontmatter,medium,yes
asus,asus-vivobook,,prose_or_frontmatter_mention,Intel Core i3,src/content/brands/asus-vivobook.md,repo_text,medium_low,yes
asus,asus-vivobook,,prose_or_frontmatter_mention,AMD Ryzen 3,src/content/brands/asus-vivobook.md,repo_text,medium_low,yes
asus,asus-vivobook,,prose_or_frontmatter_mention,14 นิ้ว,src/content/brands/asus-vivobook.md,repo_text,medium_low,yes
asus,asus-vivobook,,prose_or_frontmatter_mention,15.6 นิ้ว,src/content/brands/asus-vivobook.md,repo_text,medium_low,yes
asus,asus-zenbook,,popularModels_chip,"Zenbook 13 / 14",src/content/brands/asus-zenbook.md,repo_frontmatter,medium,yes
asus,asus-zenbook,,popularModels_chip,"Zenbook Pro / Flip",src/content/brands/asus-zenbook.md,repo_frontmatter,medium,yes
asus,asus-zenbook,,popularModels_chip,Zenbook Duo (สองหน้าจอ),src/content/brands/asus-zenbook.md,repo_frontmatter,medium,yes
asus,asus-zenbook,,prose_or_frontmatter_mention,Intel Core i5,src/content/brands/asus-zenbook.md,repo_text,medium_low,yes
asus,asus-zenbook,,prose_or_frontmatter_mention,AMD Ryzen 5,src/content/brands/asus-zenbook.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g14,popularModels_chip,"Zephyrus G14 RTX 4050",src/content/brands/asus-zephyrus-g14.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g14,popularModels_chip,"Zephyrus G14 RTX 4060",src/content/brands/asus-zephyrus-g14.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g14,popularModels_chip,Zephyrus G14 ที่อัปเกรด RAM / SSD แล้ว,src/content/brands/asus-zephyrus-g14.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g14,prose_or_frontmatter_mention,RTX 4050,src/content/brands/asus-zephyrus-g14.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g14,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus-zephyrus-g14.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g14,prose_or_frontmatter_mention,RTX 3060,src/content/brands/asus-zephyrus-g14.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g16,popularModels_chip,"Zephyrus G16 RTX 4060",src/content/brands/asus-zephyrus-g16.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g16,popularModels_chip,"Zephyrus G16 RTX 4070",src/content/brands/asus-zephyrus-g16.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g16,popularModels_chip,Zephyrus G16 จอ 240Hz,src/content/brands/asus-zephyrus-g16.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,asus-zephyrus-g16,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus-zephyrus-g16.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g16,prose_or_frontmatter_mention,RTX 4070,src/content/brands/asus-zephyrus-g16.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g16,prose_or_frontmatter_mention,240Hz,src/content/brands/asus-zephyrus-g16.md,repo_text,medium_low,yes
asus,asus-zephyrus,asus-zephyrus-g16,prose_or_frontmatter_mention,16 นิ้ว,src/content/brands/asus-zephyrus-g16.md,repo_text,medium_low,yes
asus,asus-zephyrus,,popularModels_chip,"ROG Zephyrus G14",src/content/brands/asus-zephyrus.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,,popularModels_chip,"ROG Zephyrus G16",src/content/brands/asus-zephyrus.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,,popularModels_chip,ROG Zephyrus Duo (สองหน้าจอ),src/content/brands/asus-zephyrus.md,repo_frontmatter,medium,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,Intel Core i7,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,AMD Ryzen 7,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 3060,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 3070,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 4070,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 4080,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,RTX 4090,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,120Hz,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,asus-zephyrus,,prose_or_frontmatter_mention,240Hz,src/content/brands/asus-zephyrus.md,repo_text,medium_low,yes
asus,,,popularModels_chip,"Asus TUF Gaming F15 / A15",src/content/brands/asus.md,repo_frontmatter,medium,yes
asus,,,popularModels_chip,"Asus ROG Strix / Zephyrus",src/content/brands/asus.md,repo_frontmatter,medium,yes
asus,,,popularModels_chip,Asus VivoBook / ZenBook,src/content/brands/asus.md,repo_frontmatter,medium,yes
asus,,,prose_or_frontmatter_mention,RTX 3050,src/content/brands/asus.md,repo_text,medium_low,yes
asus,,,prose_or_frontmatter_mention,RTX 4060,src/content/brands/asus.md,repo_text,medium_low,yes
dell,,dell-g15-g16,popularModels_chip,"Dell G15 RTX 3050 / 4050",src/content/brands/dell-g15-g16.md,repo_frontmatter,medium,yes
dell,,dell-g15-g16,popularModels_chip,"Dell G16 RTX 4060 / 4070",src/content/brands/dell-g15-g16.md,repo_frontmatter,medium,yes
dell,,dell-g15-g16,popularModels_chip,Dell G Series ที่อัปเกรด RAM / SSD แล้ว,src/content/brands/dell-g15-g16.md,repo_frontmatter,medium,yes
dell,,dell-g15-g16,prose_or_frontmatter_mention,RTX 3050,src/content/brands/dell-g15-g16.md,repo_text,medium_low,yes
dell,,dell-g15-g16,prose_or_frontmatter_mention,RTX 4060,src/content/brands/dell-g15-g16.md,repo_text,medium_low,yes
dell,,dell-inspiron-15,popularModels_chip,"Inspiron 15 Intel",src/content/brands/dell-inspiron-15.md,repo_frontmatter,medium,yes
dell,,dell-inspiron-15,popularModels_chip,"Inspiron 15 Ryzen",src/content/brands/dell-inspiron-15.md,repo_frontmatter,medium,yes
dell,,dell-inspiron-15,popularModels_chip,Inspiron 15 ที่อัปเกรด RAM / SSD แล้ว,src/content/brands/dell-inspiron-15.md,repo_frontmatter,medium,yes
dell,dell-latitude,,popularModels_chip,"Latitude 3420 / 3430",src/content/brands/dell-latitude.md,repo_frontmatter,medium,yes
dell,dell-latitude,,popularModels_chip,"Latitude 5420 / 5430",src/content/brands/dell-latitude.md,repo_frontmatter,medium,yes
dell,dell-latitude,,popularModels_chip,Latitude 7420 / 7430,src/content/brands/dell-latitude.md,repo_frontmatter,medium,yes
dell,dell-latitude,,prose_or_frontmatter_mention,Intel Core i3,src/content/brands/dell-latitude.md,repo_text,medium_low,yes
dell,dell-latitude,,prose_or_frontmatter_mention,AMD Ryzen 3,src/content/brands/dell-latitude.md,repo_text,medium_low,yes
dell,dell-vostro,,popularModels_chip,"Vostro 14 / 15",src/content/brands/dell-vostro.md,repo_frontmatter,medium,yes
dell,dell-vostro,,popularModels_chip,"Vostro 3000 ซีรีส์",src/content/brands/dell-vostro.md,repo_frontmatter,medium,yes
